train_loss,epoch,step,val_loss
0.46994954347610474,0,49,
0.35166725516319275,0,99,
0.6759334802627563,0,149,
0.19509188830852509,0,199,
0.059515852481126785,0,249,
0.17290346324443817,0,299,
0.12974813580513,0,349,
0.3116646707057953,0,399,
0.08422531187534332,0,449,
0.1313965916633606,0,499,
0.2508709728717804,0,549,
0.22899945080280304,0,599,
0.1975250095129013,0,649,
0.056382615119218826,0,699,
0.06507807970046997,0,749,
0.09032752364873886,0,799,
0.04484788700938225,0,849,
,0,859,0.13062916696071625
0.13279512524604797,1,899,
0.029835745692253113,1,949,
0.09110915660858154,1,999,
0.1240452378988266,1,1049,
0.013644070364534855,1,1099,
0.15174449980258942,1,1149,
0.015713322907686234,1,1199,
0.057866811752319336,1,1249,
0.3799547851085663,1,1299,
0.0769464299082756,1,1349,
0.1729525476694107,1,1399,
0.015528066083788872,1,1449,
0.021474050357937813,1,1499,
0.02455066330730915,1,1549,
0.0999283492565155,1,1599,
0.3683841824531555,1,1649,
0.008374580182135105,1,1699,
,1,1719,0.10833099484443665
0.0229682344943285,2,1749,
0.05539046227931976,2,1799,
0.08775673061609268,2,1849,
0.06239084526896477,2,1899,
0.06359779089689255,2,1949,
0.039880458265542984,2,1999,
0.03307667747139931,2,2049,
0.02483712136745453,2,2099,
0.1787489503622055,2,2149,
0.037080176174640656,2,2199,
0.04253603518009186,2,2249,
0.02825453318655491,2,2299,
0.04098767042160034,2,2349,
0.0849544107913971,2,2399,
0.15562307834625244,2,2449,
0.12195029109716415,2,2499,
0.15715689957141876,2,2549,
,2,2579,0.088109590113163
0.006509852595627308,3,2599,
0.011930645443499088,3,2649,
0.11545135080814362,3,2699,
0.11303918808698654,3,2749,
0.007461232133209705,3,2799,
0.005629857070744038,3,2849,
0.004072562791407108,3,2899,
0.08273807168006897,3,2949,
0.03049766831099987,3,2999,
0.049994077533483505,3,3049,
0.0245229322463274,3,3099,
0.17430439591407776,3,3149,
0.0009495713165961206,3,3199,
0.043586160987615585,3,3249,
0.16627779603004456,3,3299,
0.029704401269555092,3,3349,
0.043662507086992264,3,3399,
,3,3439,0.0853910818696022
0.024338625371456146,4,3449,
0.00405857851728797,4,3499,
0.0006906763883307576,4,3549,
0.10340357571840286,4,3599,
0.05658062919974327,4,3649,
0.026402069255709648,4,3699,
0.048591405153274536,4,3749,
0.039089661091566086,4,3799,
0.17422689497470856,4,3849,
0.016722198575735092,4,3899,
0.07105199247598648,4,3949,
0.0173235721886158,4,3999,
0.11259180307388306,4,4049,
0.009721077047288418,4,4099,
0.08620674163103104,4,4149,
0.03363008797168732,4,4199,
0.04450191929936409,4,4249,
0.001530794776044786,4,4299,
,4,4299,0.08192151039838791
